class_index,class,image_name
915,n04613696,ILSVRC2012_val_00023809.JPEG
368,n02483362,ILSVRC2012_val_00010482.JPEG
804,n04254120,ILSVRC2012_val_00028406.JPEG
960,n07836838,ILSVRC2012_val_00043992.JPEG
403,n02687172,ILSVRC2012_val_00029651.JPEG
34,n01665541,ILSVRC2012_val_00025441.JPEG
251,n02110341,ILSVRC2012_val_00002481.JPEG
516,n03125729,ILSVRC2012_val_00025177.JPEG
480,n02977058,ILSVRC2012_val_00040442.JPEG
388,n02510455,ILSVRC2012_val_00029579.JPEG
992,n12998815,ILSVRC2012_val_00039754.JPEG
839,n04366367,ILSVRC2012_val_00003250.JPEG
895,n04552348,ILSVRC2012_val_00047529.JPEG
293,n02130308,ILSVRC2012_val_00021920.JPEG
471,n02950826,ILSVRC2012_val_00001399.JPEG
342,n02396427,ILSVRC2012_val_00014124.JPEG
597,n03527444,ILSVRC2012_val_00028696.JPEG
963,n07873807,ILSVRC2012_val_00010984.JPEG
984,n11879895,ILSVRC2012_val_00030171.JPEG
207,n02099601,ILSVRC2012_val_00030710.JPEG
508,n03085013,ILSVRC2012_val_00002755.JPEG
128,n02002724,ILSVRC2012_val_00037766.JPEG
273,n02115641,ILSVRC2012_val_00000604.JPEG
129,n02006656,ILSVRC2012_val_00008978.JPEG
802,n04252077,ILSVRC2012_val_00027261.JPEG
89,n01819313,ILSVRC2012_val_00042665.JPEG
640,n03717622,ILSVRC2012_val_00046488.JPEG
859,n04442312,ILSVRC2012_val_00006132.JPEG
241,n02108000,ILSVRC2012_val_00002234.JPEG
985,n11939491,ILSVRC2012_val_00038071.JPEG
542,n03250847,ILSVRC2012_val_00012319.JPEG
743,n04005630,ILSVRC2012_val_00030195.JPEG
872,n04485082,ILSVRC2012_val_00049728.JPEG
616,n03627232,ILSVRC2012_val_00030345.JPEG
977,n09421951,ILSVRC2012_val_00049720.JPEG
135,n02013706,ILSVRC2012_val_00002126.JPEG
299,n02138441,ILSVRC2012_val_00026450.JPEG
92,n01828970,ILSVRC2012_val_00032617.JPEG
772,n04127249,ILSVRC2012_val_00040506.JPEG
71,n01770393,ILSVRC2012_val_00011287.JPEG
973,n09256479,ILSVRC2012_val_00021175.JPEG
920,n06874185,ILSVRC2012_val_00048314.JPEG
719,n03935335,ILSVRC2012_val_00024576.JPEG
319,n02268443,ILSVRC2012_val_00022215.JPEG
465,n02916936,ILSVRC2012_val_00031560.JPEG
570,n03424325,ILSVRC2012_val_00009791.JPEG
94,n01833805,ILSVRC2012_val_00003064.JPEG
338,n02364673,ILSVRC2012_val_00020498.JPEG
420,n02787622,ILSVRC2012_val_00009566.JPEG
305,n02172182,ILSVRC2012_val_00015022.JPEG
628,n03673027,ILSVRC2012_val_00048362.JPEG
669,n03788365,ILSVRC2012_val_00002478.JPEG
988,n12267677,ILSVRC2012_val_00038256.JPEG
191,n02096051,ILSVRC2012_val_00035158.JPEG
563,n03388183,ILSVRC2012_val_00011312.JPEG
471,n02950826,ILSVRC2012_val_00024648.JPEG
429,n02799071,ILSVRC2012_val_00021134.JPEG
937,n07714990,ILSVRC2012_val_00029722.JPEG
529,n03188531,ILSVRC2012_val_00002699.JPEG
252,n02110627,ILSVRC2012_val_00009478.JPEG
57,n01735189,ILSVRC2012_val_00009169.JPEG
866,n04465501,ILSVRC2012_val_00024074.JPEG
992,n12998815,ILSVRC2012_val_00047343.JPEG
560,n03379051,ILSVRC2012_val_00006689.JPEG
991,n12985857,ILSVRC2012_val_00005088.JPEG
12,n01532829,ILSVRC2012_val_00006835.JPEG
88,n01818515,ILSVRC2012_val_00029991.JPEG
761,n04074963,ILSVRC2012_val_00017725.JPEG
910,n04597913,ILSVRC2012_val_00032118.JPEG
381,n02493793,ILSVRC2012_val_00046736.JPEG
751,n04037443,ILSVRC2012_val_00003779.JPEG
889,n04536866,ILSVRC2012_val_00047738.JPEG
840,n04367480,ILSVRC2012_val_00029322.JPEG
701,n03888257,ILSVRC2012_val_00009370.JPEG
647,n03733805,ILSVRC2012_val_00036965.JPEG
0,n01440764,ILSVRC2012_val_00041939.JPEG
630,n03680355,ILSVRC2012_val_00007565.JPEG
491,n03000684,ILSVRC2012_val_00047060.JPEG
893,n04548362,ILSVRC2012_val_00042766.JPEG
939,n07716358,ILSVRC2012_val_00024556.JPEG
321,n02276258,ILSVRC2012_val_00042436.JPEG
233,n02106382,ILSVRC2012_val_00014000.JPEG
773,n04131690,ILSVRC2012_val_00014294.JPEG
315,n02236044,ILSVRC2012_val_00000772.JPEG
741,n03998194,ILSVRC2012_val_00023103.JPEG
942,n07717556,ILSVRC2012_val_00021508.JPEG
57,n01735189,ILSVRC2012_val_00041743.JPEG
177,n02092002,ILSVRC2012_val_00017645.JPEG
991,n12985857,ILSVRC2012_val_00042183.JPEG
577,n03447721,ILSVRC2012_val_00007286.JPEG
210,n02100236,ILSVRC2012_val_00040116.JPEG
227,n02105412,ILSVRC2012_val_00030065.JPEG
864,n04461696,ILSVRC2012_val_00007770.JPEG
131,n02009229,ILSVRC2012_val_00016684.JPEG
863,n04458633,ILSVRC2012_val_00048297.JPEG
553,n03337140,ILSVRC2012_val_00032953.JPEG
434,n02808304,ILSVRC2012_val_00048872.JPEG
87,n01817953,ILSVRC2012_val_00002791.JPEG
78,n01776313,ILSVRC2012_val_00003577.JPEG
308,n02190166,ILSVRC2012_val_00036434.JPEG
946,n07730033,ILSVRC2012_val_00039071.JPEG
511,n03100240,ILSVRC2012_val_00036091.JPEG
486,n02992211,ILSVRC2012_val_00024444.JPEG
100,n01860187,ILSVRC2012_val_00029298.JPEG
292,n02129604,ILSVRC2012_val_00013239.JPEG
562,n03388043,ILSVRC2012_val_00008290.JPEG
283,n02123394,ILSVRC2012_val_00001132.JPEG
746,n04019541,ILSVRC2012_val_00007030.JPEG
114,n01945685,ILSVRC2012_val_00036520.JPEG
558,n03372029,ILSVRC2012_val_00021414.JPEG
321,n02276258,ILSVRC2012_val_00027353.JPEG
877,n04501370,ILSVRC2012_val_00016591.JPEG
995,n13044778,ILSVRC2012_val_00039214.JPEG
550,n03297495,ILSVRC2012_val_00029819.JPEG
190,n02095889,ILSVRC2012_val_00028632.JPEG
859,n04442312,ILSVRC2012_val_00007103.JPEG
617,n03630383,ILSVRC2012_val_00038063.JPEG
557,n03355925,ILSVRC2012_val_00046366.JPEG
603,n03538406,ILSVRC2012_val_00038282.JPEG
278,n02119789,ILSVRC2012_val_00006145.JPEG
431,n02804414,ILSVRC2012_val_00020820.JPEG
87,n01817953,ILSVRC2012_val_00017242.JPEG
611,n03598930,ILSVRC2012_val_00019286.JPEG
857,n04429376,ILSVRC2012_val_00013871.JPEG
367,n02481823,ILSVRC2012_val_00049985.JPEG
306,n02174001,ILSVRC2012_val_00004339.JPEG
588,n03482405,ILSVRC2012_val_00011587.JPEG
230,n02105855,ILSVRC2012_val_00031994.JPEG
